,City,Colors Reported,Shape Reported,State,Time
63,Baltimore,Red,OVAL,MD,6/30/1947 18:00
64,Cashmere,Red,FORMATION,WA,7/1/1947 20:00
65,Maywood,Red,DISK,CA,7/1/1947 20:00
66,Wexford,BLUE,LIGHT,PA,7/1/1947 20:00
67,Sioux Falls,Red,LIGHT,SD,7/4/1947 0:00
68,Seattle,Red,OVAL,WA,7/4/1947 17:30
69,Dell Rapids,Red,LIGHT,SD,7/5/1947 0:00
70,Philadelphia,Red,DISK,PA,7/5/1947 11:30
71,Roswell,Red,LIGHT,NM,7/7/1947 0:00
72,Johnston City,Red,DISK,IL,7/9/1947 20:00
73,Roswell,Red,LIGHT,NM,7/11/1947 0:00
74,Syracuse,Red,CIGAR,NY,7/14/1947 10:30
75,Richmond,Red,CIRCLE,CA,7/14/1947 11:00
76,Las Vegas,Red,DISK,NV,7/15/1947 10:00
77,Keeneyville,Red,FORMATION,IL,7/15/1947 12:00
78,Clintwood,Red,CYLINDER,VA,7/15/1947 15:00
79,Hazelton,Red,DISK,ID,7/15/1947 15:00
80,Minneapolis,Red,DISK,MN,7/15/1947 17:00
81,Morehouse,Red,CYLINDER,MO,7/15/1947 21:00
82,San Jose,BLUE,CHEVRON,CA,7/15/1947 21:00
83,Raton,Red,OVAL,NM,7/20/1947 22:00
84,Modesto,BLUE,DISK,CA,8/8/1947 22:00
85,Green Valley,Red,LIGHT,WI,8/10/1947 20:00
86,Henrietta,Red,LIGHT,OK,8/12/1947 1:00
87,Saranac Lake,Red,DISK,NY,8/12/1947 22:00
88,Proctor,Red,CIGAR,OK,8/15/1947 20:15
89,Whitmore Lake,Red,CIGAR,MI,12/24/1947 21:00
90,Kelseyville,Red,DISK,CA,4/30/1948 12:00
91,Scipio,RED,SPHERE,IN,5/10/1948 19:00
92,Borger,Red,DISK,TX,6/15/1948 16:00
93,Baltimore,Red,OVAL,MD,6/30/1948 0:00
94,Jim Ridge,Red,LIGHT,WV,6/30/1948 8:00
95,Ojai,Red,LIGHT,CA,7/15/1948 22:00
96,New York City,Red,CIRCLE,NY,8/1/1948 2:00
97,Conshohocken,Red,OVAL,PA,8/15/1948 12:00
98,Sharpsburg,Red,CIRCLE,MD,12/12/1948 23:30
99,Seattle,Red,DISK,WA,4/10/1949 15:00
100,Oak Ridge,Red,OTHER,WV,5/1/1949 14:00
101,Grays,Red,LIGHT,SC,5/15/1949 6:30
102,Los Angeles,Red,CIRCLE,CT,6/4/1949 10:00
103,Anchorage,Red,DISK,AK,6/10/1949 21:00
104,Knoxville,Red,OTHER,TN,6/30/1949 15:00
105,Salem,Red,CIGAR,OR,6/30/1949 21:00
106,Fairbanks,Red,DISK,AK,7/1/1949 11:00
107,Marion,Red,FORMATION,AL,7/1/1949 16:00
108,Booneville,Red,LIGHT,MS,7/15/1949 20:30
109,Excelsior,Red,CIRCLE,MN,8/15/1949 0:00
110,Mill Valley,Red,LIGHT,CA,8/15/1949 21:00
111,Tarrant City,ORANGE,CIRCLE,AL,8/15/1949 22:00
112,Steilacoom,Red,DISK,WA,8/25/1949 19:00
113,Mt Gilead,Red,CIRCLE,OH,9/15/1949 21:00
114,Post,Red,DISK,TX,9/15/1949 21:00
115,San Marcos,Red,CYLINDER,TX,10/10/1949 20:30
116,Lackland AFB,Red,LIGHT,TX,10/10/1949 21:00
117,Baltimore,Red,CIGAR,MD,10/15/1949 20:00
118,Mount Hope,Red,LIGHT,WV,1/1/1950 22:00
119,New York City,Red,OVAL,NY,1/2/1950 0:00
120,Roswell,RED,LIGHT,NM,3/22/1950 0:00
121,Arkansas,Red,DISK,AR,4/15/1950 8:00
122,Waynesborough,Red,DISK,VA,4/15/1950 14:00
123,Fort Lewis,Red,TRIANGLE,WA,5/12/1950 14:00
124,Crowder,Red,LIGHT,MS,6/1/1950 0:00
125,Philadelphia,Red,DISK,MS,6/1/1950 16:00
126,Pittsburgh,Red,OVAL,PA,6/1/1950 20:00
127,Kensington,Red,OVAL,MD,6/7/1950 20:00
128,Kansas City,Red,DISK,MO,6/8/1950 10:00
129,Napa,GREEN,DISK,CA,6/10/1950 0:00
130,Grosse Pointe Park,Red,OVAL,MI,6/15/1950 13:00
131,Bonifay,Red,DISK,FL,6/15/1950 20:00
132,Fort Worth,Red,DISK,TX,6/15/1950 20:00
133,Booneville,Red,DISK,MS,6/20/1950 10:00
134,Galveston,Red,SPHERE,TX,6/20/1950 17:00
135,Lac Du Flambeau,Red,DISK,WI,6/30/1950 16:00
136,Florence,Red,DISK,CO,6/30/1950 17:30
137,Florence,Red,LIGHT,CO,6/30/1950 17:30
138,Coeur d'Alene,ORANGE,CIGAR,ID,7/2/1950 13:00
139,Bay St. Louis,Red,LIGHT,MS,7/2/1950 21:00
140,East Palestine,Red,LIGHT,OH,7/10/1950 20:30
141,Newark,Red,SPHERE,NJ,7/15/1950 21:30
142,Los Padres National Forest,Red,FORMATION,CA,7/15/1950 23:00
143,Smithport,Red,DISK,PA,7/20/1950 21:30
144,Louisville,Red,OTHER,KY,8/1/1950 4:00
145,Stanfield,Red,DISK,OR,8/15/1950 14:00
146,Pikeville,Red,DISK,KY,10/1/1950 11:00
147,Sandy Hook,Red,TRIANGLE,NJ,10/15/1950 15:00
148,Half Moon Bay,Red,OTHER,CA,12/12/1950 22:00
149,Palm Springs,Red,CIGAR,CA,1/20/1951 4:30
150,Thompsonville,Red,DISK,CT,2/3/1951 22:00
151,Los Angeles,Red,DISK,CA,2/15/1951 11:00
152,Irving,BLUE,DISK,KS,4/15/1951 0:30
153,Fort Sill,Red,OVAL,OK,5/15/1951 3:00
154,Oklahoma,Red,CIGAR,OK,6/1/1951 19:00
155,Jasper,Red,OVAL,NC,6/3/1951 13:00
156,Mount Pinos,Red,DISK,CA,6/6/1951 2:00
157,Greenville,GREEN,DISK,MS,6/15/1951 20:30
158,Jackson Heights,Red,DISK,NY,6/30/1951 7:00
159,Birmingham,Red,LIGHT,AL,6/30/1951 19:00
160,Otis Orchards,Red,DISK,WA,7/1/1951 3:00
161,Atlanta,Red,LIGHT,GA,7/1/1951 14:00
162,Calaveras County,Red,DISK,CA,7/3/1951 3:00
163,Green River,GREEN,SPHERE,WY,7/3/1951 12:00
164,Provo,BLUE,DISK,UT,7/10/1951 23:30
165,Spokane Valley,Red,SPHERE,WA,7/15/1951 14:00
166,Sunland,Red,CIRCLE,CA,8/10/1951 1:00
167,Altoona,Red,DISK,PA,8/15/1951 13:00
168,Jacksonville,Red,DISK,FL,10/15/1951 20:00
169,Holloman AFB,Red,CIRCLE,NM,11/15/1951 6:00
170,Salt Lake City,Red,LIGHT,UT,1/1/1952 0:00
171,Binghamton,Red,DISK,NY,2/10/1952 21:00
172,Nellis AFB,Red,DISK,NV,2/17/1952 18:00
173,Chicago,Red,DISK,IL,4/15/1952 13:00
174,Greenville,ORANGE,TRIANGLE,TX,4/15/1952 16:00
175,Pittsburgh,Red,CYLINDER,PA,5/15/1952 10:15
176,Allyn,Red,DISK,WA,5/15/1952 20:00
177,Dousman,Red,LIGHT,WI,6/1/1952 11:00
178,Norfolk,RED,FIREBALL,VA,6/1/1952 22:00
179,Evergreen,Red,DISK,CO,6/6/1952 13:00
180,Chicago,Red,CIRCLE,IL,6/10/1952 12:00
181,Fortville,Red,DISK,IN,6/13/1952 7:30
182,Luke Airforce Base,Red,EGG,AZ,6/15/1952 0:00
183,Piedra Blanka,Red,CIGAR,CA,6/15/1952 0:00
184,Jacksonville,Red,TRIANGLE,FL,6/15/1952 21:00
185,Maywood,Red,CIRCLE,CA,6/15/1952 23:00
186,Lansing,Red,OTHER,MI,6/21/1952 22:00
187,Chester,Red,OVAL,PA,6/22/1952 17:45
188,Cheyenne,Red,DISK,WY,6/30/1952 0:00
189,Pecos,Red,DISK,TX,6/30/1952 3:00
190,Barksdale AFB,Red,LIGHT,LA,6/30/1952 6:00
191,Miami,Red,LIGHT,FL,6/30/1952 9:00
192,New York City,Red,DISK,NY,6/30/1952 13:00
193,Auburn,Red,OVAL,WA,6/30/1952 18:30
194,Miami,Red,DISK,FL,6/30/1952 21:00
195,Miami,Red,DISK,FL,6/30/1952 21:00
196,Miami,Red,LIGHT,FL,6/30/1952 21:00
197,Sebeka,Red,OTHER,MN,7/1/1952 15:00
198,Detroit,Red,SPHERE,MI,7/1/1952 22:00
199,Tacoma,Red,SPHERE,WA,7/5/1952 16:00
200,Evergreen,Red,CIRCLE,CO,7/7/1952 10:00
201,Arlington,Red,DISK,TX,7/7/1952 13:00
202,Arlington,GREEN,OVAL,VA,7/13/1952 21:00
203,Wilmington,Red,DISK,CA,7/15/1952 12:00
204,City,Red,DISK,CA,7/15/1952 12:30
205,Litchfield,Red,OTHER,PA,7/15/1952 13:00
206,South Gate,Red,CIRCLE,CA,7/15/1952 14:00
207,North Bend,Red,OTHER,WA,7/15/1952 18:30
208,New York City,Red,OTHER,NY,7/15/1952 19:00
209,Okolona,Red,OVAL,MS,7/22/1952 9:30
210,Tacoma,Red,SPHERE,WA,7/25/1952 16:00
211,Manville,Red,SPHERE,RI,7/30/1952 15:00
212,Tampa,Red,OVAL,FL,8/1/1952 21:30
213,Smithson's Valley,Red,CIGAR,TX,8/15/1952 17:00
214,Prairie Grove,Red,DISK,AR,8/15/1952 17:30
215,Hamilton,Red,LIGHT,OH,8/15/1952 22:15
216,Philadelphia,Red,CIRCLE,PA,9/9/1952 20:00
217,Norridgewock,Red,DISK,ME,9/15/1952 14:00
218,Kansas City,Red,DISK,MO,10/1/1952 12:00
219,Richland,Red,CIRCLE,WA,10/15/1952 21:00
220,Chicago,Red,OTHER,IL,12/6/1952 19:00
221,Camp McCoy,Red,CYLINDER,WI,12/30/1952 12:00
222,Nebraska,Red,LIGHT,NE,1/1/1953 0:00
223,Oklahoma,Red,CIGAR,TX,1/1/1953 14:00
224,Palm Springs,Red,LIGHT,CA,3/15/1953 0:00
225,Haverhill,Red,CHEVRON,MA,4/1/1953 15:00
226,Cambridge,RED,SPHERE,MA,4/1/1953 18:00
227,Chariton,Red,OTHER,IA,4/10/1953 13:00
228,Los Angeles,Red,FIREBALL,CA,4/15/1953 12:00
229,Midwest City,YELLOW,FIREBALL,OK,4/15/1953 16:00
230,Jamison,Red,CIGAR,PA,4/30/1953 16:00
231,Kingman,Red,LIGHT,AZ,5/20/1953 8:00
232,Fresno,Red,LIGHT,CA,6/1/1953 21:00
233,Roswell,Red,LIGHT,NM,6/15/1953 0:00
234,Wenatchee,Red,DISK,WA,6/15/1953 12:00
235,Fort Worth,Red,SPHERE,TX,6/15/1953 13:00
236,North Bend,Red,CIRCLE,WA,6/15/1953 18:00
237,Galveston,Red,CIGAR,TX,6/17/1953 7:30
238,Cleveland,RED,FIREBALL,OH,6/30/1953 0:00
239,Kelso,Red,OVAL,WA,6/30/1953 15:00
240,Colorado Springs,Red,DISK,CO,7/1/1953 5:30
241,City,BLUE,DISK,MT,7/4/1953 14:00
242,Ogallala,Red,OTHER,NE,7/4/1953 21:00
243,Nashville,Red,CYLINDER,TN,7/15/1953 13:00
244,Dublin,Red,CONE,IN,7/17/1953 22:00
245,Berkeley,Red,FIREBALL,MO,8/1/1953 12:00
246,"San Bernadino Mtns, Church Camp",Red,DISK,CA,8/1/1953 14:00
247,Vallejo,Red,LIGHT,CA,8/7/1953 21:00
248,Louisville,Red,CIRCLE,KY,8/15/1953 11:00
249,Artesia,ORANGE,OTHER,NM,8/15/1953 19:00
250,Bowleys Quarters,Red,SPHERE,MD,8/15/1953 21:00
251,Homer,Red,LIGHT,PA,9/15/1953 14:00
252,Mauriceville,Red,DISK,TX,10/15/1953 14:00
253,New Orleans,Red,OVAL,LA,10/31/1953 19:00
254,Cicero,Red,OTHER,IL,11/13/1953 20:00
255,Keansburg,Red,CIRCLE,NJ,11/15/1953 3:00
256,Pendleton,GREEN,DISK,IN,11/21/1953 22:30
257,Lackland Air Force Base,Red,DISK,TX,11/25/1953 4:25
258,Brunswick,Red,LIGHT,ME,1/1/1954 0:00
259,Lakeland,Red,DISK,FL,1/1/1954 1:00
260,Souix City,Red,CIRCLE,IA,1/1/1954 22:00
261,Santa Monica,Red,LIGHT,CT,1/15/1954 20:00
262,Fairbanks,Red,LIGHT,AK,2/1/1954 2:00
263,Burney,Red,DISK,CA,2/15/1954 19:30
264,Stanford Campus,Red,DISK,CA,4/1/1954 22:00
265,Corvallis,Red,DIAMOND,OR,5/15/1954 12:00
266,Quincy,Red,DISK,IL,5/26/1954 4:30
267,Houston,Red,DISK,TX,6/1/1954 0:00
268,Ovid,Red,DISK,NY,6/1/1954 6:00
269,Springfield,Red,CYLINDER,IL,6/1/1954 8:00
270,El Cerrito,Red,LIGHT,CA,6/1/1954 19:00
271,Toledo,Red,DISK,OH,6/1/1954 19:00
272,Norfolk,Red,DISK,VA,6/1/1954 20:00
273,Philadelphia,Red,DISK,PA,6/1/1954 20:00
274,Fish Canyon,Red,LIGHT,CA,6/1/1954 23:00
275,Atlanta,Red,DISK,GA,6/6/1954 10:00
276,Estes Park,Red,CIGAR,CO,6/10/1954 20:00
277,Glenburn,Red,LIGHT,ME,6/11/1954 2:00
278,Palm Beach,Red,LIGHT,CA,6/15/1954 11:00
279,Claymont,Red,DISK,DE,6/15/1954 11:45
280,Ellington AFB,Red,DISK,TX,6/15/1954 16:30
281,Lorton,Red,OTHER,VA,6/23/1954 2:00
282,Langley Air Force Base,Red,CIRCLE,VA,6/23/1954 23:00
283,Thrifty,Red,CIRCLE,TX,6/25/1954 3:30
284,Marion,Red,CIRCLE,VA,6/30/1954 0:00
285,Methuen,Red,LIGHT,MA,6/30/1954 0:00
286,Hawthorne,Red,LIGHT,CA,6/30/1954 12:00
287,Pasadena,Red,CIRCLE,CA,6/30/1954 15:00
288,St. Louis Airport,RED,OVAL,MO,7/1/1954 21:00
289,Los Angeles,RED,CIRCLE,CA,7/1/1954 22:00
290,Walnut Creek,Red,LIGHT,CA,7/7/1954 20:00
291,West Columbia,Red,FORMATION,SC,7/7/1954 22:00
292,Morroco,Red,VARIOUS,IN,7/12/1954 17:30
293,Philadelphia,Red,DISK,PA,7/15/1954 11:00
294,Greenfield,Red,CIGAR,IN,7/15/1954 14:00
295,Kansas City,Red,CHEVRON,KS,7/15/1954 21:00
296,Oakdale,Red,DISK,NY,7/15/1954 21:00
297,Bridge Hampton,Red,LIGHT,NY,7/15/1954 22:00
298,Farmingdale,Red,OVAL,NY,8/1/1954 12:00
299,Dyer,Red,TRIANGLE,IN,8/1/1954 17:00
300,Canton,Red,DISK,PA,8/1/1954 21:00
301,North Hollywood,Red,LIGHT,CA,8/1/1954 22:00
302,Puyallup,Red,OVAL,WA,8/15/1954 21:00
303,Geneva,Red,DISK,NY,9/1/1954 13:00
304,Beaumont,RED,DISK,TX,9/9/1954 12:30
305,Palmer Township,Red,OTHER,PA,9/15/1954 9:30
306,Flatwoods,Red,CIRCLE,WV,10/1/1954 19:00
307,Blanco,Red,OTHER,TX,10/15/1954 16:30
308,Manistee,Red,CIRCLE,MI,10/15/1954 21:30
309,Denver,Red,FIREBALL,CO,11/1/1954 18:30
310,Thelma,Red,DISK,TX,11/14/1954 1:00
311,Red Bank,ORANGE,CIRCLE,NJ,12/15/1954 23:10
312,Yucaipa,Red,OVAL,CA,12/16/1954 16:50
313,New York City,Red,LIGHT,NY,2/15/1955 19:00
314,Holbrook,YELLOW,EGG,MA,5/1/1955 15:00
315,Warrington,Red,FIREBALL,FL,5/15/1955 3:00
316,Homaland,Red,CIRCLE,CA,6/1/1955 0:00
317,Bagley,Red,CIRCLE,MN,6/1/1955 2:00
318,Cincinnati,Red,DISK,OH,6/1/1955 15:29
319,Martinez,Red,CIRCLE,CA,6/1/1955 17:00
320,Clinton,Red,EGG,TN,6/1/1955 20:30
321,Pensacola,Red,LIGHT,FL,6/6/1955 1:00
322,South St. Paul,Red,DISK,MN,6/15/1955 0:00
323,Terre Haute,ORANGE,CIRCLE,IN,6/15/1955 0:00
324,Missouri,Red,LIGHT,MO,6/15/1955 4:30
325,Youngstown,Red,LIGHT,PA,6/15/1955 8:00
326,Daytona Beach,Red,FIREBALL,FL,6/15/1955 21:00
327,Rantoul,Red,LIGHT,IL,6/17/1955 7:00
328,Beach Haven Park,Red,DISK,NJ,6/23/1955 7:00
329,Quartz Hill,Red,DISK,CA,6/30/1955 0:00
330,Lubbock,Red,CIGAR,TX,6/30/1955 13:00
331,Dumas,Red,LIGHT,TX,6/30/1955 21:00
332,Morehead City,Red,DISK,NC,6/30/1955 21:00
333,Carnation,Red,DISK,WA,7/1/1955 14:00
334,Dierks,Red,CIGAR,AR,7/1/1955 22:00
335,Woodland Park,Red,OVAL,CO,7/15/1955 14:00
336,Ringold,Red,LIGHT,LA,7/15/1955 22:00
337,Newtown Square,Red,CIRCLE,PA,8/6/1955 19:00
338,Independence,Red,FIREBALL,MO,8/8/1955 1:00
339,Madisonville,Red,LIGHT,KY,8/14/1955 1:00
340,Eagle Pass,Red,CIGAR,TX,8/15/1955 0:01
341,Covina,Red,DISK,CA,8/17/1955 21:00
342,Bullhead,Red,DISK,AZ,9/10/1955 23:00
343,Mono Lake,Red,CIRCLE,CA,10/1/1955 22:00
344,West Covina,GREEN,LIGHT,CA,10/9/1955 18:00
345,Rhinebeck,Red,LIGHT,NY,10/15/1955 20:00
346,Weirton,Red,DISK,WV,1/1/1956 5:30
347,Petaluma,Red,OVAL,CA,3/1/1956 13:00
348,Bowie,Red,DISK,MD,3/20/1956 20:00
349,Hampton,Red,SPHERE,MN,3/22/1956 17:30
350,Canton,Red,CIGAR,OH,5/1/1956 12:00
351,Pine castle AFB,Red,LIGHT,FL,5/15/1956 20:00
352,Ada,Red,CIRCLE,OK,5/17/1956 10:22
353,Belton,Red,OTHER,MO,6/1/1956 19:00
354,Memphis,ORANGE,CYLINDER,TN,6/1/1956 20:00
355,Elmore,Red,SPHERE,AL,6/5/1956 0:00
356,Salt Lake City,Red,CIRCLE,UT,6/5/1956 0:00
357,Upper Glade,Red,EGG,WV,6/6/1956 12:00
358,Akron,Red,OTHER,OH,6/6/1956 22:00
359,Edroy,Red,LIGHT,TX,6/15/1956 1:00
360,San Francisco,Red,OTHER,CA,6/15/1956 12:15
361,Palo Alto,Red,FIREBALL,CA,6/15/1956 18:00
362,Richfield Springs,Red,CIGAR,NY,6/15/1956 18:00
363,Vista,ORANGE,CIGAR,CA,6/15/1956 19:15
364,Farragut,Red,CIGAR,TN,6/15/1956 20:00
365,Tulsa,Red,FLASH,OK,6/15/1956 20:00
366,Salem,Red,DISK,NJ,6/15/1956 20:32
367,New York City,Red,LIGHT,NY,6/15/1956 21:00
368,Cincinnati,Red,DISK,OH,6/16/1956 13:00
369,Madera,Red,SPHERE,CA,6/24/1956 14:00
370,Willow Grove,Red,LIGHT,PA,6/30/1956 1:00
371,Cape Girardeau,Red,DIAMOND,MO,6/30/1956 13:00
372,New Brunswick,Red,DISK,NJ,6/30/1956 16:00
373,Houston,Red,TRIANGLE,TX,6/30/1956 18:30
374,Beatrice,Red,OTHER,NE,7/1/1956 16:00
375,Wichita,Red,LIGHT,KS,7/12/1956 19:00
376,Sacramento,Red,DISK,CA,7/14/1956 19:30
377,East Hampton,Red,DISK,CT,7/15/1956 0:00
378,Yellowstone Park,Red,DISK,WY,7/15/1956 0:00
379,Sugarcreek,Red,DISK,OH,7/15/1956 5:00
380,Harvard,Red,LIGHT,MA,8/1/1956 20:00
381,Bradford,YELLOW,SPHERE,AL,8/1/1956 23:30
382,Norfolk,Red,CIGAR,VA,9/9/1956 5:55
383,Middle River,BLUE,CIRCLE,MD,9/15/1956 20:00
384,Hope,Red,CIRCLE,AR,9/20/1956 16:00
385,Greenwich,Red,LIGHT,CT,9/21/1956 0:00
386,Newport,Red,RECTANGLE,NH,10/1/1956 19:00
387,Edna,Red,CIRCLE,TX,10/10/1956 21:00
388,Mt. Vernon,Red,DISK,IN,10/15/1956 21:30
389,Aberdeen,ORANGE,CIRCLE,SD,11/15/1956 18:30
390,Painsville,Red,RECTANGLE,OH,11/27/1956 22:00
391,Columbus,Red,FORMATION,OH,12/1/1956 23:00
392,Dallas,Red,LIGHT,TX,1/1/1957 21:00
393,Jena,Red,SPHERE,LA,3/5/1957 19:30
394,Fort Devans,Red,OVAL,MA,3/7/1957 4:00
395,Los Angeles,Red,FORMATION,CA,3/15/1957 13:00
396,Los Angeles,Red,DISK,CA,3/15/1957 15:00
397,Canton,Red,CIGAR,OH,5/1/1957 12:00
398,Rhinebeck,Red,DIAMOND,NY,5/25/1957 13:00
399,Union Bower are irving,Red,FORMATION,TX,6/1/1957 0:00
400,El Paso,Red,DISK,TX,6/1/1957 10:00
401,E. Los Angeles,Red,LIGHT,CA,6/1/1957 12:00
402,Glens Falls,Red,DISK,NY,6/1/1957 20:00
403,Irving,Red,LIGHT,TX,6/1/1957 22:00
404,Hicksville,Red,CIRCLE,NY,6/6/1957 22:00
405,Green Lake,Red,OVAL,MI,6/12/1957 19:00
406,Livermore Falls,Red,DIAMOND,ME,6/14/1957 10:00
407,Great Falls,Red,LIGHT,MT,6/15/1957 0:00
408,Hartford City,Red,DISK,IN,6/15/1957 13:00
409,Walled Lake,Red,CYLINDER,MI,6/15/1957 23:30
410,San Leandro,Red,LIGHT,CA,6/19/1957 21:00
411,Lubbock,Red,TRIANGLE,TX,6/21/1957 17:00
412,Norwalk,Red,DISK,CA,6/21/1957 19:30
413,Arctic,Red,CIGAR,AK,6/30/1957 0:00
414,Dallas,Red,OTHER,TX,6/30/1957 0:00
415,Birmingham,Red,LIGHT,MI,6/30/1957 3:30
416,New York City,Red,TEARDROP,NY,6/30/1957 12:00
417,Burlington,Red,CIRCLE,IA,6/30/1957 13:00
418,Russellville,ORANGE,SPHERE,AR,6/30/1957 18:00
419,Barker,Red,DISK,NY,6/30/1957 20:00
420,Albany,Red,CIRCLE,CA,6/30/1957 21:00
421,Mullens,Red,OVAL,WV,7/1/1957 13:00
422,Talcott,Red,SPHERE,WV,7/1/1957 13:00
423,Del Rio,Red,CIGAR,TX,7/1/1957 20:00
424,Phillipsburg,Red,CIGAR,NJ,7/10/1957 20:00
425,Baltimore,Red,OTHER,MD,7/10/1957 22:00
426,Chesapeake,Red,DISK,OH,7/13/1957 9:00
427,Temple City,Red,LIGHT,CA,7/15/1957 12:00
428,Houston,Red,DIAMOND,TX,7/15/1957 13:00
429,Williamsport,Red,CIGAR,PA,7/15/1957 14:00
430,Long Beach,Red,DISK,CA,7/15/1957 15:00
431,Denver,Red,LIGHT,CO,7/15/1957 22:00
432,Kresgeville,Red,LIGHT,PA,7/15/1957 22:00
433,Salt  Lake City,Red,DISK,UT,7/15/1957 22:00
434,Kansas City,RED,LIGHT,MO,7/15/1957 23:30
435,Arco,Red,DISK,ID,8/1/1957 12:00
436,Vandalia,Red,DISK,OH,8/3/1957 20:00
437,Bainbridge,Red,FIREBALL,MD,8/4/1957 2:00
438,Indianapolis,Red,LIGHT,IN,8/7/1957 1:00
439,San Diego,Red,DISK,CA,8/9/1957 0:30
440,Ticonderoga,Red,DISK,NY,8/14/1957 16:00
441,California,Red,FIREBALL,CA,8/14/1957 21:00
442,Longview,Red,TRIANGLE,WA,8/15/1957 1:00
443,Ludlow,Red,CIGAR,MA,8/15/1957 1:00
444,Exeter,Red,DISK,NH,8/15/1957 21:00
445,Auburn,Red,LIGHT,MA,8/15/1957 21:30
446,Smith's Ferry,Red,DISK,ID,8/16/1957 21:30
447,Huntington,Red,TRIANGLE,IN,8/17/1957 23:00
448,Graham,Red,SPHERE,TX,9/1/1957 16:00
449,Brecksville,Red,CIRCLE,OH,9/1/1957 23:00
450,Los Gatos,Red,DISK,CA,9/5/1957 17:30
451,St. Paul,Red,DISK,MN,9/10/1957 19:15
452,El Paso,Red,DISK,TX,9/15/1957 4:00
453,Lake Jackson,Red,FIREBALL,TX,9/15/1957 21:30
454,Tacoma,Red,DISK,WA,9/15/1957 23:00
